本周
PVE
帮众                      	职位                  	剩余              	获得              	消耗              
老子多帅一太白                 	小帅哥                 	7                   	0                   	0                   
种情入蛊づ                 	小帅哥                 	6                   	0                   	0                   
懒猫打会儿滚                  	小帅哥                 	6                   	0                   	0                   
段君临                     	强总攻                 	5                   	0                   	0                   
予流萤轻罗                 	小帅哥                 	4                   	0                   	0                   
贰月初五丶                   	小帅哥                 	3                   	0                   	0                   
柒墨ぃ                    	小帅哥                 	3                   	0                   	0                   
青丶灵                     	小帅哥                 	3                   	0                   	0                   
予归雁锦书                 	小帅哥                 	2                   	0                   	0                   
鳐鱼阿                	小帅哥                 	2                   	0                   	0                   
楚南慕湫                    	小帅哥                 	2                   	0                   	0                   
爱学习的奶糖                  	小帅哥                 	1                   	0                   	0                   
完颜飞双                    	小傻瓜                 	0                   	0                   	0                   
杨枝                      	弱小受                 	0                   	0                   	0                   
呆愣的太白师兄                 	小帅哥                 	0                   	0                   	0                   
我是一棵小白菜                 	小帅哥                 	0                   	0                   	0                   
月落雅雅                    	小帅哥                 	0                   	0                   	0                   
巴蜀萨摩耶                   	小傻瓜                 	0                   	0                   	0                   
叶眉雪                     	小帅哥                 	0                   	0                   	0                   
观星客                     	小帅哥                 	0                   	0                   	0                   
陌上芓鸢                    	小傻瓜                 	0                   	0                   	0                   
