本周
PVE
帮众                      	职位                  	帮派                                      	剩余              	获得              	消耗              
烈阳高照                    	无职位                 	天纵                                      	82                  	17                  	0                   
幽ゞ❤兮慕                   	无职位                 	天纵                                      	82                  	16                  	0                   
夕颜ゞ                   	无职位                 	天纵                                      	82                  	21                  	0                   
南栀ヾ                     	无职位                 	万星楼                                     	81                  	17                  	0                   
主敎                      	无职位                 	天纵                                      	81                  	6                   	0                   
跳跳虎。                    	无职位                 	万星楼                                     	81                  	31                  	0                   
公子服输                    	无职位                 	陌上花开                                    	81                  	5                   	0                   
夏末冬初ゞ                   	无职位                 	陌上花开                                    	80                  	25                  	0                   
菠萝大口大口                  	无职位                 	陌上花开                                    	80                  	17                  	0                   
花清潼                     	无职位                 	天纵                                      	80                  	5                   	0                   
帝脩                      	无职位                 	陌上花开                                    	80                  	3                   	0                   
雪诉凡尘。                   	无职位                 	天纵                                      	80                  	27                  	0                   
耍枪的斯大林                  	无职位                 	陌上花开                                    	79                  	3                   	0                   
红雪叶开                    	无职位                 	天纵                                      	76                  	51                  	0                   
鹧鸪秋扇委尘埃                 	无职位                 	陌上花开                                    	76                  	0                   	0                   
讶然                      	无职位                 	双生逐梦                                    	75                  	2                   	0                   
止于心っ                    	无职位                 	万星楼                                     	74                  	14                  	0                   
梦似年少丶                   	无职位                 	万星楼                                     	74                  	12                  	0                   
夜雅-天纵                   	无职位                 	天纵                                      	74                  	17                  	0                   
唐琰                      	无职位                 	陌上花开                                    	74                  	4                   	0                   
秋默ˇ                     	无职位                 	陌上花开                                    	74                  	17                  	0                   
飞光倦饮一杯酒                 	无职位                 	万星楼                                     	73                  	10                  	0                   
爷丶给妞笑个呗                 	长老                  	陌上花开                                    	72                  	11                  	0                   
一漪清离                    	无职位                 	天纵                                      	72                  	26                  	0                   
映剑长天                    	无职位                 	陌上花开                                    	72                  	11                  	0                   
枯叶劫                     	无职位                 	天纵                                      	72                  	11                  	0                   
欣小言                     	无职位                 	万星楼                                     	72                  	2                   	0                   
我是sniper                	无职位                 	天纵                                      	71                  	16                  	0                   
黑牌丶                     	无职位                 	万星楼                                     	71                  	7                   	0                   
べ漠漠轻寒✿＊                 	无职位                 	天纵                                      	69                  	7                   	0                   
麻辣小龙虾                   	无职位                 	陌上花开                                    	68                  	15                  	0                   
抒素语OvO．                 	无职位                 	陌上花开                                    	68                  	0                   	0                   
一涟清尘                    	无职位                 	天纵                                      	68                  	26                  	0                   
濹蕓                      	无职位                 	天纵                                      	68                  	17                  	0                   
❀离人心゛                   	无职位                 	万星楼                                     	68                  	17                  	0                   
阿兰若ゞ                    	无职位                 	万星楼                                     	67                  	11                  	0                   
给心找个位置                  	无职位                 	万星楼                                     	66                  	7                   	0                   
胸不平何一平天                 	无职位                 	双生逐梦                                    	66                  	12                  	0                   
莯霖                      	无职位                 	万星楼                                     	66                  	6                   	0                   
如懿非凡                    	无职位                 	万星楼                                     	66                  	33                  	0                   
雨陌丶云起                   	无职位                 	陌上花开                                    	66                  	6                   	0                   
水月零                     	无职位                 	天纵                                      	65                  	12                  	0                   
风聆丶                     	无职位                 	天纵                                      	65                  	0                   	0                   
難畫妳我                    	无职位                 	万星楼                                     	65                  	16                  	0                   
懒洋洋的小五                  	无职位                 	天纵                                      	64                  	32                  	0                   
巷中夜雨                    	无职位                 	天纵                                      	64                  	38                  	0                   
小栗有以                   	无职位                 	天纵                                      	63                  	16                  	0                   
悄悄。                 	无职位                 	天纵                                      	63                  	12                  	0                   
缘壹                      	无职位                 	陌上花开                                    	62                  	6                   	0                   
哈一                     	无职位                 	陌上花开                                    	62                  	3                   	0                   
云折苏                     	无职位                 	万星楼                                     	61                  	0                   	0                   
丹青及鹤                  	无职位                 	天纵                                      	61                  	17                  	0                   
展小鲸                     	无职位                 	万星楼                                     	61                  	8                   	0                   
繁花如梦し                   	无职位                 	天纵                                      	61                  	12                  	0                   
韩艾青                     	无职位                 	陌上花开                                    	60                  	5                   	0                   
七濑薰                     	无职位                 	陌上花开                                    	60                  	7                   	0                   
执扇戏猫ˇ                   	无职位                 	陌上花开                                    	59                  	7                   	0                   
❀重阳❀                    	无职位                 	万星楼                                     	59                  	11                  	0                   
❀清明❀                    	无职位                 	万星楼                                     	59                  	10                  	0                   
感悟无聊                    	无职位                 	天纵                                      	58                  	7                   	0                   
随风隐踪                    	无职位                 	万星楼                                     	58                  	21                  	0                   
萱。                      	无职位                 	天纵                                      	58                  	29                  	0                   
乡下白菜                    	无职位                 	陌上花开                                    	57                  	3                   	0                   
不夜羽                     	无职位                 	天纵                                      	57                  	14                  	0                   
＊飛猫ゝ                   	无职位                 	万星楼                                     	55                  	31                  	0                   
三生半世                    	无职位                 	万星楼                                     	55                  	12                  	0                   
厌黛                      	无职位                 	万星楼                                     	55                  	10                  	0                   
星耀                      	无职位                 	万星楼                                     	55                  	17                  	0                   
雨陌丶無聲                   	无职位                 	陌上花开                                    	55                  	17                  	0                   
梦影芊浔                    	无职位                 	陌上花开                                    	55                  	1                   	0                   
莫亦有情                    	无职位                 	双生逐梦                                    	54                  	3                   	0                   
゜半世霓裳゛                  	无职位                 	陌上花开                                    	54                  	7                   	0                   
一贫ゞ                     	无职位                 	陌上花开                                    	54                  	0                   	0                   
唐门张洁洁                   	无职位                 	双生逐梦                                    	54                  	17                  	0                   
《木子李》                   	无职位                 	万星楼                                     	53                  	5                   	0                   
南山暖阳                    	无职位                 	双生逐梦                                    	53                  	0                   	0                   
陌默                      	无职位                 	陌上花开                                    	53                  	12                  	0                   
山外小楼听夜雨                 	无职位                 	万星楼                                     	52                  	7                   	0                   
夜雨添愁百年灯                 	无职位                 	天纵                                      	52                  	18                  	0                   
梦若清兮                    	无职位                 	天纵                                      	52                  	10                  	0                   
南宫槿儿                    	无职位                 	陌上花开                                    	51                  	7                   	0                   
苏木与冰沙                   	无职位                 	万星楼                                     	51                  	0                   	0                   
林妈妈                     	无职位                 	陌上花开                                    	51                  	7                   	0                   
一刀秒杀你                   	无职位                 	双生逐梦                                    	51                  	22                  	0                   
❀秋分❀                    	无职位                 	万星楼                                     	50                  	6                   	0                   
ˇ子清                     	无职位                 	天纵                                      	50                  	18                  	0                   
苏纯儿                     	无职位                 	双生逐梦                                    	50                  	4                   	0                   
词卿                      	无职位                 	万星楼                                     	50                  	24                  	0                   
墨染明月踏笙歌                 	无职位                 	陌上花开                                    	49                  	6                   	0                   
秦少游丶                    	无职位                 	万星楼                                     	49                  	0                   	0                   
唐珏的小姐姐                  	无职位                 	陌上花开                                    	49                  	7                   	0                   
旧城忆梦                    	无职位                 	陌上花开                                    	48                  	0                   	0                   
果味真知棒                   	无职位                 	天纵                                      	48                  	15                  	0                   
梨花雨落                    	无职位                 	万星楼                                     	48                  	10                  	0                   
凌波幻月                    	无职位                 	陌上花开                                    	48                  	21                  	0                   
名字又被用了                  	无职位                 	万星楼                                     	48                  	6                   	0                   
小熊ˋ                     	无职位                 	陌上花开                                    	46                  	6                   	0                   
杰克威廉                    	无职位                 	万星楼                                     	46                  	6                   	0                   
小桑酒哦                    	无职位                 	陌上花开                                    	46                  	2                   	0                   
烟雨朦胧丶小丘                 	无职位                 	双生逐梦                                    	46                  	7                   	0                   
小变态ヾ。                   	无职位                 	天纵                                      	46                  	6                   	0                   
つ南城忆潇湘ゝ                 	无职位                 	万星楼                                     	45                  	3                   	0                   
蓦浅恋                     	无职位                 	天纵                                      	45                  	6                   	0                   
溪语                      	无职位                 	陌上花开                                    	45                  	4                   	0                   
依梦非梦                    	无职位                 	万星楼                                     	45                  	6                   	0                   
丶飞飞                     	无职位                 	天纵                                      	45                  	9                   	0                   
悠悠白书丶                   	无职位                 	天纵                                      	44                  	6                   	0                   
逍遥道゛                    	无职位                 	双生逐梦                                    	44                  	0                   	0                   
我有两只大脚                  	无职位                 	天纵                                      	43                  	2                   	0                   
゛慕槿ゞ                    	无职位                 	陌上花开                                    	43                  	18                  	0                   
寒衣入画                    	无职位                 	陌上花开                                    	42                  	12                  	0                   
友善的可可                   	无职位                 	万星楼                                     	41                  	10                  	0                   
柚柚柚柚子╰                  	无职位                 	陌上花开                                    	41                  	14                  	0                   
北冥有鱼翅                   	无职位                 	双生逐梦                                    	41                  	0                   	0                   
十里重莲踏雪缨                 	无职位                 	陌上花开                                    	41                  	0                   	0                   
℡坏尐絯メ                   	无职位                 	天纵                                      	41                  	20                  	0                   
溪磐                      	无职位                 	双生逐梦                                    	40                  	0                   	0                   
晴天ゞ                     	无职位                 	万星楼                                     	40                  	5                   	0                   
蛀心虫                     	无职位                 	双生逐梦                                    	40                  	7                   	0                   
台风、                     	无职位                 	天纵                                      	40                  	17                  	0                   
白白泡泡糖                   	无职位                 	天纵                                      	40                  	21                  	0                   
ބ绿豆沙ゞބ                  	无职位                 	双生逐梦                                    	40                  	40                  	0                   
妾柏绮罗                    	无职位                 	天纵                                      	40                  	14                  	0                   
烟雨朦胧丶晓秋                 	无职位                 	双生逐梦                                    	39                  	2                   	0                   
我可是國寶                   	无职位                 	天纵                                      	39                  	5                   	0                   
梨酱爱吃大西瓜                 	无职位                 	天纵                                      	39                  	13                  	0                   
受气的奶黄包                  	无职位                 	陌上花开                                    	39                  	21                  	0                   
愿我似樰卿如凨                 	无职位                 	陌上花开                                    	39                  	6                   	0                   
孟斐菲                     	无职位                 	万星楼                                     	38                  	7                   	0                   
旋回活杀自在阵                 	无职位                 	天纵                                      	38                  	7                   	0                   
丷棠鲤                     	无职位                 	陌上花开                                    	38                  	8                   	0                   
我可是国宝                   	无职位                 	天纵                                      	38                  	5                   	0                   
春困的团子                   	无职位                 	万星楼                                     	37                  	11                  	0                   
独去闲人                    	无职位                 	陌上花开                                    	37                  	0                   	0                   
三岁沫                   	长老                  	天纵                                      	37                  	23                  	0                   
梦湿了内内                   	无职位                 	万星楼                                     	37                  	0                   	0                   
似灼叹                     	无职位                 	天纵                                      	36                  	1                   	0                   
음啾咪음                    	无职位                 	陌上花开                                    	36                  	23                  	0                   
雪小梨                     	无职位                 	陌上花开                                    	36                  	10                  	0                   
夜灯独酌荡舟行                 	无职位                 	双生逐梦                                    	36                  	11                  	0                   
愿我似凨君如樰                 	无职位                 	陌上花开                                    	36                  	6                   	0                   
你像场消散的梦                 	无职位                 	天纵                                      	35                  	0                   	0                   
鬼面七郎                    	无职位                 	天纵                                      	35                  	5                   	0                   
顾亓鸢                     	无职位                 	陌上花开                                    	35                  	21                  	0                   
心跳的鱼                    	无职位                 	天纵                                      	34                  	17                  	0                   
对酒当歌愁                   	无职位                 	双生逐梦                                    	34                  	0                   	0                   
蓝霂霖                     	无职位                 	陌上花开                                    	34                  	24                  	0                   
雨陌丶花の妖                  	无职位                 	陌上花开                                    	34                  	2                   	0                   
♡♡唐♡珏♡♡                 	无职位                 	陌上花开                                    	34                  	17                  	0                   
夏末い染伤                   	无职位                 	天纵                                      	34                  	5                   	0                   
若离                    	无职位                 	陌上花开                                    	34                  	17                  	0                   
南宫霏雪                    	无职位                 	陌上花开                                    	33                  	17                  	0                   
一蠢绿毛龟                   	无职位                 	万星楼                                     	33                  	1                   	0                   
反正我最咸〃                  	无职位                 	万星楼                                     	32                  	1                   	0                   
友善的羽儿                   	无职位                 	万星楼                                     	32                  	10                  	0                   
戒不掉的傲娇                  	无职位                 	双生逐梦                                    	32                  	5                   	0                   
凉酒清杯                    	无职位                 	万星楼                                     	32                  	1                   	0                   
次第花开                    	无职位                 	双生逐梦                                    	32                  	1                   	0                   
孤辞。                     	无职位                 	陌上花开                                    	32                  	1                   	0                   
帝柒影                     	无职位                 	陌上花开                                    	32                  	1                   	0                   
可羽                      	无职位                 	万星楼                                     	32                  	11                  	0                   
扶夏                      	无职位                 	天纵                                      	31                  	0                   	0                   
上山不烂下山烂                 	无职位                 	双生逐梦                                    	31                  	0                   	0                   
爱拼才能赢                   	无职位                 	双生逐梦                                    	31                  	2                   	0                   
吹雨梦                     	无职位                 	天纵                                      	31                  	14                  	0                   
夜暮                  	无职位                 	天纵                                      	31                  	31                  	0                   
去吧丶皮皮须                  	无职位                 	天纵                                      	29                  	4                   	0                   
不眠天下人                   	无职位                 	万星楼                                     	28                  	0                   	0                   
❀两岁半ღ                   	无职位                 	天纵                                      	28                  	12                  	0                   
浅妃夏眸                    	无职位                 	天纵                                      	28                  	22                  	0                   
小丶小姐姐                   	无职位                 	双生逐梦                                    	28                  	2                   	0                   
一曲断魂思无涯                 	无职位                 	万星楼                                     	28                  	0                   	0                   
＊平生欢✲ジ                  	无职位                 	陌上花开                                    	28                  	17                  	0                   
珟茗                      	无职位                 	天纵                                      	28                  	4                   	0                   
神荼夜                     	无职位                 	双生逐梦                                    	28                  	0                   	0                   
六方秋凉                    	无职位                 	双生逐梦                                    	27                  	6                   	0                   
白亦妃                     	无职位                 	双生逐梦                                    	27                  	6                   	0                   
如果再相遇丶                  	无职位                 	双生逐梦                                    	26                  	0                   	0                   
雨陌丶恋枫                   	无职位                 	陌上花开                                    	26                  	6                   	0                   
明月心♡                    	无职位                 	万星楼                                     	25                  	0                   	0                   
一起抓黄鳝                   	无职位                 	天纵                                      	25                  	0                   	0                   
维挽                      	无职位                 	陌上花开                                    	24                  	17                  	0                   
一包白糖                    	无职位                 	天纵                                      	24                  	24                  	0                   
牛奶奶奶奶                   	无职位                 	双生逐梦                                    	23                  	0                   	0                   
张剑锋                     	无职位                 	陌上花开                                    	23                  	23                  	0                   
颜凉゛                     	无职位                 	万星楼                                     	23                  	0                   	0                   
轻孤                      	无职位                 	天纵                                      	23                  	7                   	0                   
江离ぅ                     	无职位                 	万星楼                                     	23                  	0                   	0                   
斯蒂芬丶库里                  	无职位                 	双生逐梦                                    	22                  	15                  	0                   
❀小寒❀                    	无职位                 	万星楼                                     	22                  	7                   	0                   
任离流                     	无职位                 	万星楼                                     	22                  	0                   	0                   
有只梨                     	无职位                 	双生逐梦                                    	22                  	0                   	0                   
小花魁                     	无职位                 	陌上花开                                    	22                  	0                   	0                   
夏雨别夕庭                   	无职位                 	陌上花开                                    	21                  	2                   	0                   
哇唔小蜗牛                   	无职位                 	陌上花开                                    	21                  	15                  	0                   
左耳                    	无职位                 	天纵                                      	21                  	4                   	0                   
后卿将臣                    	无职位                 	双生逐梦                                    	21                  	5                   	0                   
一纸折扇戏沧生                 	无职位                 	天纵                                      	20                  	10                  	0                   
絮飞无影                    	无职位                 	天纵                                      	20                  	3                   	0                   
尘埃之末                    	无职位                 	万星楼                                     	20                  	1                   	0                   
张家大宝                    	无职位                 	双生逐梦                                    	20                  	14                  	0                   
晚下                      	无职位                 	双生逐梦                                    	20                  	0                   	0                   
铃喵                      	无职位                 	天纵                                      	20                  	2                   	0                   
细雨笼烟                    	无职位                 	天纵                                      	19                  	16                  	0                   
Dimples                 	无职位                 	天纵                                      	19                  	17                  	0                   
迷路的沫沫                   	无职位                 	万星楼                                     	19                  	0                   	0                   
❀一岁半ღ                   	无职位                 	万星楼                                     	19                  	0                   	0                   
❀元旦❀                    	无职位                 	万星楼                                     	19                  	1                   	0                   
찾은半阙诗词단                 	无职位                 	万星楼                                     	18                  	0                   	0                   
细雨弄风扶瑶琴                 	无职位                 	天纵                                      	18                  	18                  	0                   
晔非仙                     	无职位                 	陌上花开                                    	18                  	2                   	0                   
酒清欢ゞ                    	无职位                 	万星楼                                     	17                  	0                   	0                   
゛沐熙ゞ                    	无职位                 	万星楼                                     	17                  	3                   	0                   
违规名11710155920027511    	无职位                 	双生逐梦                                    	17                  	12                  	0                   
卡卡卡卡卡卡膈                 	无职位                 	天纵                                      	17                  	3                   	0                   
瑾年之殇丶                   	无职位                 	陌上花开                                    	17                  	17                  	0                   
AufWieDerSehen          	无职位                 	双生逐梦                                    	16                  	0                   	0                   
花间独酌一杯酒                 	无职位                 	天纵                                      	16                  	16                  	0                   
い嘿丶翩翩づ                  	无职位                 	天纵                                      	16                  	15                  	0                   
药陌庭                     	无职位                 	陌上花开                                    	16                  	5                   	0                   
雾里看花弦外雨                 	无职位                 	陌上花开                                    	15                  	1                   	0                   
シ语诺ゝ                    	无职位                 	天纵                                      	15                  	15                  	0                   
兔兔不抠脚                   	无职位                 	陌上花开                                    	15                  	15                  	0                   
